Salemgarh Toll Plaza,280.00
Samayapuram Toll Plaza,245.00
Sardewadi Plaza,390.00
Sasthan Toll Plaza,245.00
Sawaleshwar Toll Plaza ,330.00
SEMRI Toll Plaza,560.00
SENGURICHI TOLL PLAZA,150.00
SERGARH TOLL PLAZA,315.00
Shahapur,285.00
Shahjahanpur Toll Plaza,770.00
Shantigrama  Toll Plaza,210.00
Shilphata NH48 Toll Plaza,307.00
Shirpur,535.00
Shirur,415.00
Songir,345.00
SONWAY Toll Plaza,175.00
Srinagar Toll Plaza,590.00
"Sullurpet Plaza (NH-16),(old NH-5)",205.00
SURAPATTU TOLL PLAZA,325.00
Surathkal Toll Plaza,295.00
Talegaon Toll Plaza,459.00
Talmod Toll Plaza,290.00
Tangatur Toll Plaza,455.00
TASAWADE TOLL PLAZA,265.00
Tatiawas Toll Plaza,340.00
Tendua Toll Plaza,445.00
Thimmalapura,400.00
THIRUMANDURAI TOLL PLAZA,295.00
Titarpani,510.00
Trichy Cochin,127.00
Tundla Toll Plaza ,480.00
Unguturu Toll Plaza,500.00
Vaiguntham Toll Plaza,340.00
Vanagaram Toll Plaza,235.00
Vanagiri,285.00
Varwade Toll Plaza,330.00
Veeracholapuram Plaza,290.00
Velanchettiyur,495.00
Vempadu,620.00
Vighakhet Toll Plaza,395.00
Vijayamangalam Toll Plaza,305.00
Vikkravandi Toll Plaza,235.00
